বাস,যাত্রা শুরু,Schedule,কাউন্টার,সুপারভাইজার,Call,Start,End
মাহী ২,ঝিনাইগাতী,বিকাল ৫:০০,01732853518,01772374137,বিকাল,Sherpur,Ashulia
এমডি সুপার,অষ্টমীতলা,বিকাল ৫:০০,01710012244,01306343410,বিকাল,Sherpur,Gabtoli
মায়ের আঁচল,তিনানী,রাত ১১:০০,,01981464183,রাত,Sherpur,Ashulia
শাহ ফকির,ঝিনাইগাতী,রাত ১১:৩০,01759359730,01742712925,রাত,Sherpur,Ashulia
এমডি সুপার,গাবতলী,বিকাল ৫:০০,01710012244,01711020383,বিকাল,Gabtoli,Sherpur
মোরাদ মহিমা,আশুলিয়া,রাত ৯:০০,01781774540,01705332020,রাত,Ashulia,Sherpur
মনিমুক্তা,গাবতলী,বিকাল ৪:০০,01725371819,01729604053,বিকাল,Gabtoli,Sherpur
এমডি সুপার,আশুলিয়া,রাত ১০:০০,01710012244,01732317062,রাত,Ashulia,Sherpur
ঝিনাইগাতী এক্সপ্রেস,আশুলিয়া,রাত ১০:৩০,01927378807,01965660669,রাত,Ashulia,Sherpur
জনতা পরিবহন,গাবতলী,বিকাল ৫:৪০,01325542292,01325542294,বিকাল,Gabtoli,Sherpur
শিবু,আশুলিয়া,ভোর ৪:৪০,01828120080,01736030462,ভোর,Ashulia,Sherpur
মাহী ১,আশুলিয়া,ভোর ৪:১০,01732853518,01732853517,ভোর,Ashulia,Sherpur
সিয়াম,বাইপাইল,সকাল ৬:২০,01912081358,01776093780,সকাল,Ashulia,Sherpur
শেরপুর ট্রাভেলস,বাইপাইল,সকাল ৮:৩০,01721626063,01730891913,সকাল,Ashulia,Sherpur
মাহী ২,আশুলিয়া,ভোর ৫:০১,01732853518,01772374137,ভোর,Ashulia,Sherpur
এমডি সুপার,গাবতলী,সকাল ৭:৪৫,01710012244,01306343410,সকাল,Gabtoli,Sherpur
মায়ের আঁচল,আশুলিয়া,রাত ১০:০০,,01981464183,রাত,Ashulia,Sherpur
শাহ ফকির,আশুলিয়া,রাত ১১:০০,01759359730,01742712925,রাত,Ashulia,Sherpur
সিমিন,ঝিনাইগাতী,ভোর ৪:০০,01730589081,01896190707,ভোর,Jhinaigati,Dhaka
ঝিনাইগাতী ডিলাক্স,ঝিনাইগাতী,সকাল ৬:৩০,01741728173,01770411810,সকাল,Jhinaigati,Dhaka
ঝিনাগাতী ক্ষুদ্রবণিক সমবায় সমিতি,ঝিনাইগাতী,সকাল ৭:০০,01711333913,01719530687,সকাল,Jhinaigati,Dhaka
ঝিনাইগাতী এক্সপ্রেস,ঝিনাইগাতী,সকাল ৭:৩০,01946300280,01776239423,সকাল,Jhinaigati,Dhaka
জনতা পরিবহন,তিনানী,সকাল ৮:০০,18148411617,01325542294,সকাল,Jhinaigati,Dhaka
অপু ট্রাভেলস,ঝিনাইগাতী,সকাল ৮:০০,,01308926543,সকাল,Jhinaigati,Dhaka
